WO Description,WO rem long desc,Cause object
23302-d : kpot-88634464;(-)membrane psi,hole in membrane,Membrane
replaced d6 dia,placed dia,Tube
replace dia on d1,replaced dia,Tube
replace d13 dia,changed d13 dia,Tube
bead lift not lowering completely and popping when opening,ls15 not in right position . adjusted ls15,Process/CQ-Related
23302-d : kpot-71797296;(+)removed from auto,d-2 diaphragm leaking - changed,Diaphragm
23303-n : kpot-87828411;(-)platen temp,replaced platen purge output card.,PLC / PLC Cards
23303-n : kpot-70957578;(+)loading,lid hook pin,Pin / Clip
23303-n : kpot-10580104;(+)extraction,replaced ps7.,Pressure switch
23303-n : kpot-54296630;(+)extraction,wo left over from previous crew . previous crew said it was a ps7 failure and fixed press . press is currently running,Steam
micro to nano conversion,conversion completed and timed good,Process/CQ-Related
panel view not working,reattached cable,Screen / Monitor / Display
panel view not working,reset panelview,Screen / Monitor / Display
cbo speed too slow,drilled out orifice for sectors speed a little bit and re-timed,Process/CQ-Related
23303-d : kpot-88623727;(-)moldback temp,pinched airline at drain valve,Tube
23303-d : kpot-28543775;(-)membrane psi,slow fill,Injector
d1 bis eaking,replace o rings,Washer
23303-d : kpot-65753309;(+)removed from auto,ls2 not making,Limit Switch / Sensor
23303-d : kpot-51985272;(+)extraction,d7 diaphragm leaking air . replaced diaphragm and put press on reheat,Diaphragm
23304-n : kpot-65753400;(+)loading,locking ring dcv,Solenoid / Coil
23304-n : kpot-35646860;(+)extraction,replaced ps1,Pressure switch
23304-n : kpot-05986635;(-)membrane psi,broken vinj air line.,Directional Valve
23304-n : kpot-73358357;(+)membrane temp,v22 not purging . replaced v22 sol.,Solenoid / Coil
23304-n : kpot-51985689;(+)loading,ls10 didn't make . bolt fell out of prox bracket and spun around so that it couldn't make . put new bolt in and adjusted.,Proximity Sensor / Switch
23304-n : kpot-64813828;(-)membrane psi,plastic covering on locking ringg loose and blocked ls2.,Fastener
23304-n : kpot-71796306;(-)membrane temp,replaced orange hose left side.,Flexible Tubing / Hose
23304-d : kpot-58185410;(+)loading,operator changed the membrane,Membrane
23304-d : kpot-13171034;(+)loading,replaced right lid hook cylinder,Gasket / Seal / Packing
23304-d : kpot-58180673;(-)membrane temp,there was a cure law issue mid-cure,PLC Program
23304-d : kpot-46140633;(+)removed from auto,replaced jib flap assembly due to the bracket breaking at weld,Clevis
bad output card,locking tabs on output card 10 were broken,PLC / PLC Cards
23304-d : kpot-52678926;(+)extraction,mold leaking causing condensation to make ps1,Flexible Tubing / Hose
23304-d : kpot-87824352;(+)moldback temp,replaced output card . output stuck on.,PLC / PLC Cards
check jib to see if its cutting into the membrane,didnt' have the old membrane to compare to but didn't see any issues.,Membrane
23305-n : kpot-28544288;(-)membrane psi,slow fill,Directional Valve
not picking tire up from press,lowered jib pickup height to consigne,Process/CQ-Related
23305-n : kpot-54297480;(+)loading,left pin broke . replaced,Pin / Clip
23305-n : kpot-70961557;(+)loading,jib head cold and not wanting to move . heated it up and cycled it until it was moving like normal . refired the press,Fitting
23305-n : kpot-70961588;(+)loading,replaced jib head,Housing
23305-n : kpot-52727204;(-)membrane psi,hole in membrane,Membrane
23305-d : kpot-71807830;(+)dsp duration,is bad,PLC / PLC Cards
23305-d : kpot-05987729;(-)membrane psi,replaced d9,Directional Valve
replace sector hose and repair steam leak,repaired leak,Pipe / Rigid Tubing
23305-d : kpot-64817984;(+)extraction,tire got stuck to membrane . operator called qmp to check spray on the 64's.,Terminal block
d 17 dia,reolaced dia,Tube
d1 d3 pipe leaking,flange needs to be replaced,Pipe / Rigid Tubing
wont load,"operator kept waiting until it needed a reheat, it loaded fine",POST / STUD
d19 bis orfice gaskets,replaced gaskets,Pipe reducer
steam leak,"no one called it in, wasn't any obvious leak",POST / STUD
23305-d : kpot-29350872;(+)dsp duration,l/r wouldnt open . changed membrane shaft seal for multiple leak detects and ran without fluids a few cycles and didnt notice anything . all outputs on hmi were good too,Gasket / Seal / Packing
23305-d : kpot-29351248;(+)extraction,door latch was unlock,Washer
23305-d : kpot-73359307;(+)extraction,4 sol failed . replaced,Solenoid / Coil
l-07 lid not all the way up,lid hook pin cotter pin was broken . preventing hook from opening to let lid go all the way up,Pin / Clip
23306-n : kpot-71807843;(+)dsp duration,membrane didn't drain . replaced v21sol.,Solenoid / Coil
23306-n : kpot-10582591;(+)extraction,ps7 tube was clogged . replaced ps7 as well,Pressure switch
setting off the safety cells fault,jib dropping tires off center on the chariot . jib was way off center . eccentric shaft was loose . adjusted and tightened.,Eccentric
23306-n : kpot-10582769;(+)extraction,replaced ps7 and blew out serpentine.,Pressure switch
jib no swing in,ls28 was loose,Limit Switch / Sensor
23306-n : kpot-29256005;(-)platen temp,replaced v2 solenoid.,Solenoid / Coil
23306-d : kpot-88614956;(-)moldback temp,welded pipe and replaced rtd can to fix leaking valve connections,Relief Valve
membrane not making precon height,operator got press to load,Screw
needs to be converted from nano to micro,did speed change and timed press . timed good,Process/CQ-Related
needs to be converted from nano to micro,performed speed conversion and timed . timed good.,Process/CQ-Related
leak detected in phase 3,membrane had hole in it,Membrane
23306-d : kpot-88615563;(-)moldback temp,output card bad . not giving output for moldback purge . replaced output card,Input / Output Card
23306-d : kpot-88615560;(+)loading,ls2 prox not made . prox was bent down . bent prox back up and press began curing . had operator restart press after the kpot cures,Proximity Sensor / Switch
lid will not go up all the way,bent lid hook cylinder shaft-replaced cylinder,Cylinder / Roll
23306-d : kpot-51996016;(+)loading,door wasnt closed,Sensor
23306-d : kpot-28545080;(+)removed from auto,replaced lid hook cylinder,Lid
23306-d : kpot-73359926;(+)extraction,glass tube airline loose . tightened airline and restarted press,Tube
23306-d : kpot-61882540;(+)consecutive l1s,reseated rtd card,Push Button
tire pick kup height needs to be lowered,lowered pick up height,Screw
"e06,f02,f08 memb tearing around top",tires sticking to sectors causing stress to membrane and blowing - operator witnessed membrane blow up on extraction while stuck to sector.,Screw
23307-n : kpot-05988831;(-)membrane psi,right v21 valve stuck open . replaced valve . and actuator.,Shut Off Valve
23307-n : kpot-88616010;(+)loading,replaced output card 12.,PLC / PLC Cards
23307-n : kpot-51996249;(+)removed from auto,lid hooks sticking - cleaned and lubed,Limit Switch / Sensor
23307-d : kpot-71797849;(+)loading,ls2 not made . adjusted ls2,Proximity Sensor / Switch
something wrong with the panel view,panel defaulted to application screen . loaded application,Software
23307-d : kpot-88616891;(+)extraction,ps7 not made . changed ps7 and cleared out serpentine,Steam
will not count down on reheat,reseated rtd card for moldback/platen,Integrated Circuit
jib keeps dropping cover on chariot,overhead not picking up covers well-duplicate work order for g hol,POST / STUD
23308-n : kpot-51996519;(+)loading,adjusted ls10.,Proximity Sensor / Switch
23308-n : kpot-88617365;(+)extraction,ps-7 clogged,Pressure Gauge / Gauge
23308-n : kpot-64812122;(+)loading,lid hook sticking,Lid
23308-n : kpot-10584653;(-)membrane psi,hole in membrane,Membrane
23308-n : kpot-05989644;(+)extraction,lid didn't raise . replaced d2 diaphragm.,Directional Valve
23308-n : kpot-21103724;(+)removed from auto,head of particentral was slightly rotated so that when it lowered it couldn't go all the way down to make ls15.,Washer
23308-n : kpot-54298767;(+)consecutive l1s,membrane leaking,Membrane
23308-n : kpot-51995130;(+)removed from auto,lid hook sticking - cleaned and lubed,Limit Switch / Sensor
23308-d : kpot-10585119;(-)membrane psi,slow fill,Temperature Sensor
23308-d : kpot-88618178;(-)moldback temp,refer to grs4035880,Directional Valve
23308-d : kpot-88618178;(-)moldback temp,durbin valve not actuating fully . replaced moldback purge valve and orifice/gaskets . put press on reheat,Directional Valve
bad hydrualic leak,pipe in ceiling downstairs blowing out . replaced gasket and tightened fitting on pipe,Fitting
jib not picking tire up out or press,ls28 arm loose . tightened limit switch arm,Limit Switch / Sensor
23308-d : kpot-65876514;(+)extraction,operator restarted press and did not call in kpot . press is running,Push Button
check for leaks in phase 3,ps7 blowing out,Fitting
23308-d : kpot-28545895;(+)removed from auto,ls5 lid hook pin broke . replaced lid hook pin,Pin / Clip
23309-n : kpot-05989961;(-)platen temp,accidentally turned wrong air off when turning air off for glass tubes,Screw
23211-n : kpot-34153613;(-)membrane temp,injector leaking . couldn't tell if it was the gasket or a crack . replaced injector.,Injector
ls28 not made mb not in precon height,replaced d2,Fitting
23211-n : kpot-71613768;(+)dsp duration,v21e failed,Directional Valve
quality,replaced d19 bis,Shut Off Valve
23211-d : kpot-79492458;(+)extraction,shuttle valve for the locking ring was sticking,Flow Control Valve
hydro leaks,replaced gaskets and,Pipe / Rigid Tubing
v-01 lid not lowering,mold shop tech left a mb hose draped over the lid hook catch,Flexible Tubing / Hose
23211-d : kpot-27644688;(+)loading,"replaced shuttle valve, dcv, and 6 sol.",Directional Valve
23211-d : kpot-15555415;(+)extraction,ps7 failed,Pressure switch
23212-n : kpot-71579353;(-)membrane temp,bithermal cure with the crossover pipe closed . opened.,Temperature Sensor
s07 jib isnt picking the tire up out the press,no issues found.,Process/CQ-Related
23212-n : kpot-71568060;(-)membrane temp,pipe coming out of the parti central going to an orange hose (with the transducer line going into it) leaking above where the hose connects to it . found a spare on a shelf and replaced it . didn't have the t to attach the transducer hose so put it into the old serpentine . also replaced the rtd as it seemed a little split . ran several bypasses,Pipe / Rigid Tubing
wont load,cleaned transducers,Pressure Gauge / Gauge
23212-n : kpot-27643222;(-)membrane temp,membrane had a hole in it . operator took care of it.,Membrane
cq 45.2 checklist,did checklist . fitment was a little loose . otherwise everything looked alright,Retaining ring
no sr / jib rotation cylinder failed,cylinder shaft broke at the threads.,Hydraulic Cylinder / Jack
23212-n : kpot-88564267;(+)extraction,ps7 clogged,Pressure switch
23212-n : kpot-71579514;(+)membrane temp,"v22 looked suspect . orifice was bigger than it was supposed to, so replaced that too . bypass still wasn't quite right so ended up changing the membrane oring and shaft seal and it finally looked right",Gasket / Seal / Packing
23212-n : kpot-03162153;(+)loading,operator said jib couldnt release cover after inflating . adjusted jib height and membrane height,Membrane
ls1 ls2 not made fault,the switch head for ls2 was sticking,Limit Switch / Sensor
23212-d : kpot-52662109;(+)consecutive l1s,checked moldback purge valve and orifice . orifice was clogged,Orifice
lid won't lower,ls1 needed to be adjusted,Limit Switch / Sensor
hydraulic leak - pipe in behind press leaking when press opens,tighten locking ring fitting,Flexible Tubing / Hose
w-10 won't load,measured and verified membrane height,Magnet
23212-d : kpot-28609129;(-)dsp duration,membrane drain hose had come off,Flexible Tubing / Hose
energy manager #fdb glass tube leak,replaced leaking glass tube,Tube
energy manager #fdb glass tube,replaced leaking glass tube,Tube
wont inflate or go in precon height,needed reheat,POST / STUD
loading error wont inflate or go in precon height,needed reheat,POST / STUD
energy manager #fdb leaking glass tube,tightened loose air fittings on the glass tube,Nut
23212-d : kpot-28609243;(+)extraction,"replaced dcv/manifold, and fixed air leaks in cabinet.",Flexible Tubing / Hose
press needs nano speeds- lid too slow- 154/ cbo too fast- 23.0,replaced orifices,Orifice
23212-d : kpot-53455006;(-)membrane psi,worker miss diagnosed the kpot and thought it was due to the pan not draining so worker open to pan drain,Shut Off Valve
23212-d : kpot-53455005;(+)extraction,mold shop left the pan drain hand valve closed,Shut Off Valve
23212-d : kpot-53455007;(-)membrane psi,"one of the transducer caps not reading . moves with the cap . replaced both caps, found a wire pulled out of the terminal on one . put it back, still reading -6+ bars . replaced the whole cable, no change . finally got frustrated and turned the key on the processor and it started reading again . turned over to operator for a cure law . stayed down over an hour before anyone tried to do anything.",Pressure switch
